ID,생산년도,모델출시년도,브랜드,차량모델명,판매도시,판매구역,주행거리,배기량,압축천연가스(CNG),경유,가솔린,하이브리드,액화석유가스(LPG),가격
TRAIN_00025,2005,2003,ford,c-max,JWZ,SWI,140000,1798,0,0,1,0,0,16.38
TRAIN_00026,2015,2008,citroen,c5,KRA,MAL,160177,1997,0,1,0,0,0,46.8
TRAIN_00027,2014,2014,volkswagen,passat,WAR,MAZ,102047,1968,0,1,0,0,0,98.67
TRAIN_00028,2018,2012,ford,kuga,LEB,POM,72736,1499,0,1,0,0,0,116.87
TRAIN_00029,2015,2011,kia,picanto,ELC,LOD,235000,998,0,0,0,0,1,27.56
TRAIN_00030,2009,2007,audi,a4,SRO,DOL,123691,1968,0,1,0,0,0,46.8
TRAIN_00031,2013,2008,opel,insignia,ZAW,SLA,146283,1956,0,1,0,0,0,46.67
TRAIN_00032,2005,2004,ford,focus,MAR,WIE,187000,1596,0,0,1,0,0,19.11
TRAIN_00033,2016,2012,honda,cr-v,SZI,WIE,62930,1997,0,0,1,0,0,129.35
TRAIN_00034,2016,2015,skoda,superb,MYS,SLA,164900,1968,0,1,0,0,0,114.27
TRAIN_00035,2009,2009,renault,grand-scenic,SLU,POM,134674,1500,0,1,0,0,0,22.09
TRAIN_00036,2007,2002,honda,jazz,LOM,POL,149000,1246,0,0,1,0,0,18.07
TRAIN_00037,2013,2012,toyota,rav4,RZG,LOD,155000,1998,0,1,0,0,0,90.87
TRAIN_00038,2012,2010,volkswagen,passat,MIK,SLA,128000,1798,0,0,1,0,0,59.67
TRAIN_00039,2008,2004,bmw,seria-1,WAD,MAL,146300,1995,0,0,1,0,0,44.98
TRAIN_00040,2012,2008,ford,kuga,KAT,SLA,172413,1997,0,1,0,0,0,64.35
TRAIN_00041,2018,2014,volkswagen,passat,LOD,LOD,124000,1968,0,1,0,0,0,101.27
TRAIN_00042,2004,1997,audi,a6,WAR,MAZ,210000,2496,0,1,0,0,0,15.6
TRAIN_00043,2008,2007,audi,a4,UOT,MAZ,275511,2967,0,1,0,0,0,42.77
TRAIN_00044,2016,2013,mazda,3,WAR,MAZ,72270,1499,0,1,0,0,0,81.25
TRAIN_00045,2017,2010,ford,focus,LOD,LOD,40500,1596,0,0,0,0,1,71.37
TRAIN_00046,2010,2009,bmw,seria-5,PAS,WAR,241700,1995,0,1,0,0,0,59.15
TRAIN_00047,2015,2009,volkswagen,polo,WKN,MAZ,125000,1197,0,0,1,0,0,38.87
TRAIN_00048,2013,2003,fiat,punto,TAR,SLA,150700,1368,0,0,1,0,0,19.5
TRAIN_00049,2022,2016,fiat,tipo,KAT,SLA,1,999,0,0,1,0,0,102.96
TRAIN_00050,2015,2010,ford,focus,ZSR,LUB,143000,1498,0,1,0,0,0,57.85
TRAIN_00051,2019,2015,opel,astra,LEU,MAL,42900,1400,0,0,1,0,0,96.07
TRAIN_00052,2008,1996,seat,alhambra,RYD,SLA,230730,1968,0,1,0,0,0,19.5
TRAIN_00053,2010,2010,ford,focus,LOD,LOD,110858,1596,0,0,1,0,0,28.47
TRAIN_00054,2013,2009,bmw,x1,KHI,MAL,98000,1995,0,1,0,0,0,76.44
TRAIN_00055,2009,2008,skoda,superb,PDO,MAL,187000,1798,0,0,1,0,0,41.6
TRAIN_00056,2007,2003,bmw,x3,OLE,DOL,346000,2993,0,1,0,0,0,42.9
TRAIN_00057,2011,2007,ford,mondeo,SYB,SLA,213000,1997,0,1,0,0,0,25.87
TRAIN_00058,2017,2017,nissan,micra,LEG,DOL,51000,898,0,0,1,0,0,71.37
TRAIN_00059,2019,2013,nissan,qashqai,BPL,MAZ,42000,1332,0,0,1,0,0,116.87
TRAIN_00060,2008,2005,bmw,seria-3,QQP,POL,118000,1995,0,0,1,0,0,34.45
TRAIN_00061,2006,2003,audi,a3,ZRI,DOL,225431,1595,0,0,1,0,0,19.37
TRAIN_00062,2007,2004,ford,focus,GRU,KUJ,219500,1596,0,0,0,0,1,16.77
TRAIN_00063,2007,2005,bmw,seria-3,WAR,MAZ,94500,2979,0,0,1,0,0,123.37
TRAIN_00064,2009,2004,ford,focus,UEI,DOL,123000,1596,0,0,1,0,0,23.27
TRAIN_00065,2012,2011,audi,a6,ZYW,OPO,208000,1968,0,1,0,0,0,76.7
TRAIN_00066,2020,2020,volkswagen,golf,SWA,WIE,9000,999,0,0,1,0,0,116.87
TRAIN_00067,2014,2013,mazda,3,CNM,DOL,148000,2184,0,1,0,0,0,56.55
TRAIN_00068,2013,2012,volkswagen,golf,MIK,SLA,222316,1968,0,1,0,0,0,57.07
TRAIN_00069,2016,2014,mercedes-benz,vito,BMR,ZAC,270000,2143,0,1,0,0,0,124.8
TRAIN_00070,2007,2004,bmw,seria-1,ZAW,SLA,118000,1596,0,0,1,0,0,25.87
TRAIN_00071,2001,2000,audi,a4,RYK,LUB,221000,1984,0,0,1,0,0,12.87
TRAIN_00072,2012,2007,renault,laguna,MDQ,SLA,128000,1461,0,1,0,0,0,27.3
TRAIN_00073,2013,2011,mercedes-benz,cls-klasa,DEB,POD,190777,2143,0,1,0,0,0,97.37
TRAIN_00074,2004,2000,toyota,rav4,PIA,MAZ,247087,1998,0,0,0,0,1,31.2
TRAIN_00075,2009,2003,audi,a3,LUB,LUB,121344,1896,0,1,0,0,0,42.9
TRAIN_00076,2016,2014,opel,corsa,LEG,DOL,70650,1398,0,0,1,0,0,46.79
TRAIN_00077,2015,2012,volkswagen,golf,POZ,WIE,78500,1395,0,0,1,0,0,73.97
TRAIN_00078,2007,2005,mercedes-benz,s-klasa,LOD,LOD,163000,3498,0,0,1,0,0,58.5
TRAIN_00079,2016,2008,volvo,xc-60,KAT,SLA,97793,1969,0,1,0,0,0,149.37
TRAIN_00080,2009,2004,kia,sportage,ZBO,POL,228000,1975,0,0,1,0,0,34.97
TRAIN_00081,2014,2010,opel,meriva,RAD,MAZ,155000,1364,0,0,1,0,0,44.07
TRAIN_00082,2007,2006,volvo,s80,ELB,WAR,137200,3192,0,0,1,0,0,45.37
TRAIN_00083,2007,2002,mercedes-benz,e-klasa,DAB,SLA,312000,2987,0,1,0,0,0,28.78
TRAIN_00084,2008,2004,bmw,seria-1,MIN,MAZ,264000,1995,0,1,0,0,0,27.95
TRAIN_00085,2013,2012,seat,leon,WAG,WIE,160000,1598,0,1,0,0,0,45.37
TRAIN_00086,2012,2011,audi,a6,URR,MAZ,243000,1968,0,1,0,0,0,85.67
TRAIN_00087,2004,2003,fiat,panda,YXK,MAL,123300,1108,0,0,1,0,0,9.1
TRAIN_00088,2014,2013,nissan,qashqai,KIE,SWI,170000,1600,0,1,0,0,0,71.37
TRAIN_00089,2015,2008,opel,insignia,BYD,KUJ,116500,1956,0,1,0,0,0,51.87
TRAIN_00090,2004,2000,audi,a4,BIA,POL,301518,1896,0,1,0,0,0,18.85
TRAIN_00091,2009,2008,opel,insignia,PDO,MAL,182000,1598,0,0,1,0,0,36.27
TRAIN_00092,2008,2005,mercedes-benz,m-klasa,OTW,MAZ,230721,2987,0,1,0,0,0,64.76
TRAIN_00093,2017,2013,skoda,octavia,OLS,WAR,40569,999,0,0,1,0,0,83.07
TRAIN_00094,2012,2008,volvo,xc-60,PLO,MAZ,178000,1984,0,1,0,0,0,78.0
TRAIN_00095,2017,2013,renault,grand-scenic,TOR,KUJ,44151,1197,0,0,1,0,0,111.67
TRAIN_00096,2009,2008,citroen,c5,MYS,SLA,175000,1997,0,1,0,0,0,32.37
TRAIN_00097,2007,2005,mercedes-benz,m-klasa,PIO,SWI,265002,2987,0,1,0,0,0,46.67
TRAIN_00098,2014,2011,audi,a6,LUB,LUB,140781,1968,0,1,0,0,0,103.35
TRAIN_00099,2017,2014,skoda,fabia,PIA,MAZ,137899,1422,0,1,0,0,0,46.8
TRAIN_00100,2008,2006,honda,civic,WDJ,MAZ,219000,1799,0,0,1,0,0,31.07
TRAIN_00101,2004,2002,mercedes-benz,e-klasa,WRO,DOL,376884,3996,0,1,0,0,0,19.37
TRAIN_00102,2002,1998,bmw,seria-3,GDA,POM,250000,1796,0,0,1,0,0,14.17
TRAIN_00103,2016,2015,audi,a4,PLO,MAZ,193664,1968,0,1,0,0,0,124.67
TRAIN_00104,2014,2010,nissan,juke,GRU,KUJ,114060,1461,0,1,0,0,0,51.35
TRAIN_00105,2008,2002,honda,accord,KUT,LOD,279900,2204,0,1,0,0,0,24.57
TRAIN_00106,2008,2002,bmw,seria-6,XAB,SLA,151000,2993,0,1,0,0,0,130.0
TRAIN_00107,2014,2010,ford,focus,PIA,MAZ,105186,999,0,0,1,0,0,44.2
TRAIN_00108,2009,2006,opel,corsa,DTF,POM,107000,1229,0,0,1,0,0,17.55
TRAIN_00109,2007,2002,mercedes-benz,e-klasa,STY,MAZ,252000,1796,0,0,1,0,0,35.75
TRAIN_00110,2007,2002,opel,vectra,FIR,SLA,268000,1910,0,1,0,0,0,15.34
TRAIN_00111,2017,2016,peugeot,3008,GNI,WIE,151000,1997,0,1,0,0,0,115.57
TRAIN_00112,2019,2019,renault,clio,GLI,SLA,13756,999,0,0,1,0,0,81.64
TRAIN_00113,2010,2004,opel,astra,SYC,DOL,185970,1598,0,0,1,0,0,19.37
TRAIN_00114,2004,2002,renault,megane,WAR,MAZ,167000,1598,0,0,1,0,0,14.17
TRAIN_00115,2012,2011,honda,civic,WAR,MAZ,103564,1798,0,0,1,0,0,65.65
TRAIN_00116,2018,2014,skoda,fabia,YMZ,MAL,47000,999,0,0,1,0,0,46.8
TRAIN_00117,2012,2011,honda,civic,DGT,LOD,128000,1799,0,0,0,0,1,51.87
TRAIN_00118,2016,2015,hyundai,tucson,QZT,POD,197000,1685,0,1,0,0,0,87.75
TRAIN_00119,2005,2004,volkswagen,caddy,MQE,SLA,325500,1598,0,0,0,0,1,20.8
TRAIN_00120,2015,2009,opel,astra,WGS,ZAC,194000,1598,0,1,0,0,0,40.17
TRAIN_00121,2018,2014,ford,mondeo,GMH,MAL,43294,1999,0,0,0,1,0,150.67
TRAIN_00122,2006,2002,mercedes-benz,e-klasa,LOM,POL,320000,2148,0,1,0,0,0,33.67
TRAIN_00123,2008,2006,honda,civic,SMA,MAZ,166000,1800,0,0,0,0,1,29.77
TRAIN_00124,2007,2004,audi,a6,OLS,WAR,418000,2698,0,1,0,0,0,33.8
TRAIN_00125,2003,1998,renault,clio,MAK,MAZ,191300,1149,0,0,1,0,0,6.24
TRAIN_00126,2015,2014,opel,corsa,SKI,LOD,64000,1398,0,0,1,0,0,45.37
TRAIN_00127,2013,2011,toyota,yaris,ZUI,MAL,144835,1329,0,0,1,0,0,37.05
TRAIN_00128,2013,2005,bmw,seria-3,LAB,KUJ,215000,1995,0,1,0,0,0,56.55
TRAIN_00129,2009,2007,nissan,qashqai,ULY,LOD,125000,1461,0,1,0,0,0,13.78
TRAIN_00130,2004,2003,ford,c-max,SWA,WIE,148000,1596,0,0,1,0,0,12.87
TRAIN_00131,2011,2007,mazda,6,DWX,SLA,230000,2184,0,1,0,0,0,34.45
TRAIN_00132,2006,1999,bmw,x5,BUJ,SLA,518300,2993,0,1,0,0,0,45.5
TRAIN_00133,2010,2007,mercedes-benz,c-klasa,ORK,MAZ,208900,1796,0,0,1,0,0,50.38
TRAIN_00134,1999,1997,volkswagen,golf,SKW,LUU,216486,1781,0,0,1,0,0,11.05
TRAIN_00135,2015,2005,mitsubishi,lancer,AEG,SLA,133000,1590,0,0,1,0,0,50.7
TRAIN_00136,2020,2019,toyota,corolla,RAD,MAZ,14933,1598,0,0,1,0,0,112.97
TRAIN_00137,2008,2002,audi,a8,JFX,LUB,218658,3000,0,1,0,0,0,51.74
TRAIN_00138,2009,2008,citroen,c5,SWA,WIE,122000,1749,0,0,1,0,0,24.57
TRAIN_00139,2005,2003,volkswagen,golf,WRO,DOL,198500,1984,0,0,1,0,0,42.77
TRAIN_00140,2006,2004,audi,a4,YTC,MAL,356525,1968,0,1,0,0,0,23.4
TRAIN_00141,2013,2006,toyota,auris,ZHF,ZAC,131500,1329,0,0,1,0,0,45.37
TRAIN_00142,2014,2009,bmw,seria-5,RAD,MAZ,198000,1995,0,1,0,0,0,85.67
TRAIN_00143,2009,2008,ford,fiesta,YZI,LUU,185933,1242,0,0,1,0,0,27.17
TRAIN_00144,2012,2012,hyundai,i30,WAR,MAZ,60076,1591,0,0,1,0,0,47.97
TRAIN_00145,2005,2004,bmw,seria-1,BOD,MAL,293000,1995,0,1,0,0,0,18.07
TRAIN_00146,2015,2014,nissan,x-trail,GQF,WAR,172832,1618,0,0,1,0,0,88.26
TRAIN_00147,2004,1999,skoda,fabia,LUB,LUB,208000,1390,0,0,1,0,0,10.01
TRAIN_00148,2008,2008,ford,fiesta,WAG,WIE,118000,1399,0,1,0,0,0,21.45
TRAIN_00149,2010,2008,opel,insignia,MYJ,WIE,226500,1956,0,1,0,0,0,37.7
TRAIN_00150,2011,2010,kia,sportage,RKR,POM,136000,1591,0,0,1,0,0,60.97
TRAIN_00151,2005,2001,mitsubishi,outlander,RZU,SWI,207000,1997,0,0,1,0,0,25.87
TRAIN_00152,2006,2004,audi,a4,QUB,POM,212000,2967,0,1,0,0,0,33.67
TRAIN_00153,2011,2010,ford,focus,LGC,POM,242271,1560,0,1,0,0,0,31.07
TRAIN_00154,2013,2009,renault,grand-scenic,ZHF,ZAC,165000,1598,0,1,0,0,0,45.37
TRAIN_00155,2010,2008,renault,megane,WAR,MAZ,195000,1998,0,0,1,0,0,25.87
TRAIN_00156,2005,2001,nissan,x-trail,KXH,POM,364146,2184,0,1,0,0,0,17.55
TRAIN_00157,2010,2004,bmw,seria-1,RAD,MAZ,200000,1995,0,0,1,0,0,23.27
TRAIN_00158,2004,1998,volvo,s80,GUM,SWI,260154,2435,0,0,1,0,0,16.25
TRAIN_00159,2008,2005,volkswagen,passat,KUT,LOD,209000,1900,0,1,0,0,0,25.87
TRAIN_00160,2007,2002,seat,ibiza,QIF,MAL,230000,1422,0,1,0,0,0,11.63
TRAIN_00161,2011,2006,honda,cr-v,BIA,POL,180000,2354,0,0,1,0,0,64.94
TRAIN_00162,2017,2013,nissan,qashqai,FXV,MAZ,106341,1461,0,1,0,0,0,94.77
TRAIN_00163,2002,1999,skoda,fabia,IUY,SLA,292000,1896,0,1,0,0,0,3.89
TRAIN_00164,2013,2013,renault,grand-scenic,ZSR,LUB,152000,1461,0,1,0,0,0,36.4
TRAIN_00165,2013,2012,volvo,v40,WAR,MAZ,225000,1560,0,1,0,0,0,45.11
TRAIN_00166,2017,2012,seat,leon,WLA,POM,147215,1798,0,0,1,0,0,85.8
TRAIN_00167,2003,2002,opel,meriva,LEU,MAL,187000,1598,0,0,1,0,0,7.8
TRAIN_00168,2007,2006,honda,civic,NAK,KUJ,144000,1339,0,0,1,0,0,24.57
TRAIN_00169,2017,2017,seat,ibiza,LOD,LOD,84532,999,0,0,1,0,0,45.37
TRAIN_00170,2012,2006,toyota,rav4,BUL,SLA,180000,1987,0,0,0,0,1,57.07
TRAIN_00171,2013,2011,opel,zafira,SGU,WAR,173308,1364,0,0,1,0,0,53.17
TRAIN_00172,2012,2011,volvo,v60,KAT,SLA,116447,1560,0,1,0,0,0,57.85
TRAIN_00173,2013,2006,honda,civic,LOD,LOD,64255,1799,0,0,1,0,0,62.4
TRAIN_00174,2006,2004,audi,a4,RAD,MAZ,300000,2698,0,1,0,0,0,29.77
TRAIN_00175,2006,2004,ford,focus,UUO,WIE,145000,1596,0,0,1,0,0,14.17
TRAIN_00176,2012,2008,opel,insignia,GNI,WIE,228000,1956,0,1,0,0,0,45.37
TRAIN_00177,2009,2004,opel,astra,RZE,POD,119900,1598,0,0,1,0,0,21.97
TRAIN_00178,2019,2013,nissan,qashqai,MLE,DOL,72000,1332,0,0,1,0,0,116.87
TRAIN_00179,2008,2007,mercedes-benz,c-klasa,ZDF,WIE,237000,2148,0,1,0,0,0,41.47
TRAIN_00180,2007,2004,kia,sportage,WAU,SWI,195786,1991,0,1,0,0,0,20.67
TRAIN_00181,2004,2003,bmw,seria-5,ZER,SWI,237779,4398,0,0,1,0,0,26.91
TRAIN_00182,2015,2013,skoda,octavia,KAT,SLA,430000,1598,0,1,0,0,0,79.95
TRAIN_00183,2014,2007,volkswagen,tiguan,GDA,POM,118000,1968,0,1,0,0,0,90.87
TRAIN_00184,2013,2009,opel,astra,GLI,SLA,172500,1364,0,0,1,0,0,41.47
TRAIN_00185,2010,2005,volkswagen,passat,CHE,KUJ,300000,1798,0,0,1,0,0,24.44
TRAIN_00186,2018,2016,kia,sportage,VJG,MAL,46362,1591,0,0,1,0,0,155.81
TRAIN_00187,2013,2012,seat,leon,NAU,MAL,136000,1395,0,0,1,0,0,49.27
TRAIN_00188,2018,2011,opel,combo,GDA,POM,175000,1598,0,1,0,0,0,59.67
TRAIN_00189,2017,2014,volkswagen,passat,NOW,WIE,180000,2000,0,1,0,0,0,102.31
TRAIN_00190,2009,2007,volkswagen,tiguan,MAM,WIE,216054,1968,0,1,0,0,0,47.19
TRAIN_00191,2006,2002,opel,meriva,MYJ,WIE,211000,1686,0,1,0,0,0,11.57
TRAIN_00192,2019,2018,kia,ceed,JZI,WIE,42000,1353,0,0,1,0,0,101.27
TRAIN_00193,2004,1998,renault,clio,LAS,LOD,66000,1149,0,0,1,0,0,10.14
TRAIN_00194,2013,2008,audi,q5,WAR,MAZ,136000,1984,0,0,1,0,0,100.1
TRAIN_00195,2005,2003,toyota,avensis,JKR,LUB,179000,1794,0,0,1,0,0,22.62
TRAIN_00196,2005,2002,opel,meriva,EZQ,MAZ,222000,1598,0,0,1,0,0,10.27
TRAIN_00197,2006,2005,bmw,seria-3,NWQ,DOL,134000,1995,0,0,1,0,0,29.77
TRAIN_00198,2015,2014,ford,mondeo,PIL,WIE,146420,1997,0,1,0,0,0,90.87
TRAIN_00199,2015,2014,volkswagen,passat,GKV,ZAC,190000,1968,0,1,0,0,0,87.1
TRAIN_00200,2004,2000,audi,a4,DTF,POM,250300,1781,0,0,1,0,0,32.5
TRAIN_00201,2018,2012,ford,kuga,ELK,WAR,30000,1499,0,0,1,0,0,115.7
TRAIN_00202,2014,2008,skoda,superb,PLO,MAZ,223000,1968,0,1,0,0,0,63.57
TRAIN_00203,2004,2004,audi,a6,ZWO,MAZ,208611,2393,0,0,1,0,0,32.37
TRAIN_00204,2015,2011,audi,a6,MUD,LOD,126000,1968,0,1,0,0,0,116.87
TRAIN_00205,2008,2005,bmw,seria-3,LEG,DOL,187000,1995,0,1,0,0,0,41.47
TRAIN_00206,2014,2010,volkswagen,sharan,RZE,POD,96000,1984,0,0,1,0,0,116.99
TRAIN_00207,2010,2006,toyota,auris,WAR,MAZ,200798,1598,0,0,1,0,0,28.47
TRAIN_00208,2012,2007,audi,a5,KAL,WIE,83300,1968,0,1,0,0,0,83.85
TRAIN_00209,2017,2014,skoda,fabia,BYD,KUJ,63497,1422,0,1,0,0,0,62.27
TRAIN_00210,2009,2008,ford,fiesta,LAS,LOD,101000,1242,0,0,1,0,0,24.44
TRAIN_00211,2013,2013,kia,carens,PUS,WIE,142000,1685,0,1,0,0,0,45.37
TRAIN_00212,2004,2003,volkswagen,golf,WUZ,WIE,250000,1390,0,0,1,0,0,14.01
TRAIN_00213,2005,1998,bmw,seria-3,ALW,ZAC,210000,2494,0,0,1,0,0,54.6
TRAIN_00214,2009,2007,audi,a4,GDA,POM,305000,1968,0,1,0,0,0,39.0
TRAIN_00215,2008,2006,kia,ceed,DOJ,MAL,230000,1396,0,0,1,0,0,19.37
TRAIN_00216,2012,2008,bmw,x6,EHX,WIE,83339,4395,0,0,1,0,0,126.75
TRAIN_00217,2007,2006,opel,corsa,LLE,DOL,170000,1229,0,0,1,0,0,11.05
TRAIN_00218,2019,2012,mazda,6,OPO,OPO,80500,1998,0,0,1,0,0,124.8
TRAIN_00219,2018,2014,volkswagen,passat,WAR,MAZ,84574,1798,0,0,1,0,0,139.75
TRAIN_00220,2018,2014,volkswagen,passat,OLS,WAR,109500,1798,0,0,1,0,0,124.67
TRAIN_00221,2008,2007,nissan,qashqai,SOC,MAZ,200000,1598,0,0,1,0,0,32.37
TRAIN_00222,2010,2006,honda,civic,DRI,LOD,168000,1799,0,0,1,0,0,42.77
TRAIN_00223,2017,2012,toyota,auris,UDJ,POM,93560,1329,0,0,1,0,0,68.25
TRAIN_00224,2017,2017,volkswagen,polo,XOK,ZAC,140000,999,0,0,1,0,0,62.36
TRAIN_00225,2017,2016,renault,megane,ZHF,ZAC,60934,1598,0,0,1,0,0,84.37
TRAIN_00226,2003,2003,bmw,seria-5,MIE,POD,265000,2497,0,0,0,0,1,19.37
TRAIN_00227,2010,2005,renault,clio,KUT,LOD,190000,1149,0,0,1,0,0,22.09
TRAIN_00228,2007,2003,bmw,seria-5,KIE,SWI,373000,2993,0,1,0,0,0,37.05
TRAIN_00229,1998,1994,audi,a8,ORN,WAR,260123,2500,0,1,0,0,0,14.3
TRAIN_00230,2009,2008,opel,insignia,GRU,KUJ,149021,1598,0,0,1,0,0,33.67
TRAIN_00231,2016,2013,skoda,octavia,VAU,WIE,82750,1968,0,1,0,0,0,64.74
TRAIN_00232,2020,2016,kia,sportage,GNI,WIE,15000,1591,0,0,1,0,0,149.5
TRAIN_00233,2009,2002,volkswagen,touareg,WRO,DOL,225000,2967,0,1,0,0,0,57.2
TRAIN_00234,2015,2012,volkswagen,golf,WAR,MAZ,78000,1395,0,0,1,0,0,71.37
TRAIN_00235,2007,2005,mazda,5,NWQ,DOL,162000,1798,0,0,1,0,0,20.67
TRAIN_00236,2009,2008,skoda,superb,BIE,SLA,301000,1968,0,1,0,0,0,36.27
TRAIN_00237,2014,2007,fiat,bravo,PIL,WIE,256122,1598,0,1,0,0,0,27.95
TRAIN_00238,2016,2013,nissan,qashqai,ZHF,ZAC,41950,1197,0,0,1,0,0,90.87
TRAIN_00239,2015,2008,renault,megane,WAR,MAZ,126643,1598,0,0,1,0,0,44.85
TRAIN_00240,2004,1998,bmw,seria-3,EJE,DOL,144536,1995,0,0,1,0,0,13.39
TRAIN_00241,2003,2002,opel,meriva,QSW,LOD,157000,1796,0,0,1,0,0,11.57
TRAIN_00242,2008,2007,audi,a4,SDB,LOD,240000,1968,0,1,0,0,0,130.0
TRAIN_00243,2011,2008,volkswagen,golf,OCF,MAL,230000,1598,0,1,0,0,0,34.97
TRAIN_00244,2002,1997,volkswagen,golf,SKA,SWI,279000,1390,0,0,0,0,1,11.18
TRAIN_00245,2007,2004,audi,a4,BIA,POL,290000,2967,0,1,0,0,0,29.77
TRAIN_00246,2008,2004,audi,a4,GDA,POM,349600,1968,0,1,0,0,0,24.05
TRAIN_00247,2017,2015,skoda,superb,GDA,POM,130409,1968,0,1,0,0,0,123.37
TRAIN_00248,2006,2005,volkswagen,jetta,SWI,DOL,235000,1984,0,0,1,0,0,20.67
TRAIN_00249,2009,2008,honda,accord,KEP,WIE,204000,1997,0,0,1,0,0,48.1
TRAIN_00250,2005,1998,volvo,s80,WAR,MAZ,305000,2435,0,0,1,0,0,17.55
TRAIN_00251,2013,2011,audi,a6,SLP,LOD,257000,2967,0,1,0,0,0,104.0
TRAIN_00252,2013,2007,ford,mondeo,AGS,MAZ,188178,1997,0,1,0,0,0,42.9
TRAIN_00253,2017,2014,ford,mondeo,BOC,MAL,75400,1498,0,0,1,0,0,79.95
TRAIN_00254,2017,2013,skoda,octavia,RYB,SLA,184564,1968,0,1,0,0,0,73.97
TRAIN_00255,2017,2012,renault,clio,FQR,MAZ,80000,1149,0,0,1,0,0,47.97
TRAIN_00256,1999,1996,volkswagen,passat,WEG,MAZ,265000,1896,0,1,0,0,0,8.45
TRAIN_00257,2020,2013,nissan,qashqai,FMD,MAL,2522,1332,0,0,1,0,0,125.45
TRAIN_00258,2006,2004,mercedes-benz,a-klasa,XOK,ZAC,220000,1991,0,1,0,0,0,9.49
TRAIN_00259,2012,2010,kia,sportage,WIE,MAL,206183,1685,0,1,0,0,0,63.05
TRAIN_00260,2017,2017,opel,insignia,LUB,LUB,122755,1956,0,1,0,0,0,122.07
TRAIN_00261,2016,2012,honda,cr-v,LUK,LUB,41500,1997,0,0,1,0,0,113.75
TRAIN_00262,2009,2005,bmw,seria-3,LEB,POM,198000,1995,0,0,1,0,0,38.87
TRAIN_00263,2016,2009,bmw,seria-5,OST,WIE,220300,1995,0,1,0,0,0,123.37
TRAIN_00264,2007,2004,bmw,seria-1,GOL,ZAC,266400,1995,0,1,0,0,0,26.0
TRAIN_00265,2010,2008,honda,accord,WYS,MAZ,253000,1997,0,0,1,0,0,42.38
TRAIN_00266,2008,2006,honda,civic,KRA,MAL,127000,1799,0,0,1,0,0,26.0
TRAIN_00267,2005,2003,bmw,x3,RAD,MAZ,157000,2993,0,1,0,0,0,51.87
TRAIN_00268,2009,2008,volkswagen,golf,NUK,ZAC,345000,1968,0,1,0,0,0,24.57
TRAIN_00269,2008,2002,opel,vectra,WAS,POL,292800,1998,0,0,0,0,1,14.3
TRAIN_00270,2021,2016,hyundai,elantra,OCF,MAL,5903,1598,0,0,1,0,0,136.37
